post_id,creator_id,creator_location,creator_connections,creator_topic_interests,creator_format_preferences,creator_creator_preferences,creator_expertise_levels,content,timestamp,likes,comments,shares,avg_time_spent,topics,content_format,content_length,location,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound
p067,u167,"(30.7333,76.7794)","['u165', 'u169']","{'astrophotography': 0.9, 'space': 0.8}","{'image': 0.9, 'video': 0.6}","{'u165': 0.9, 'u169': 0.7}","{'astrophotography': 0.9, 'space': 0.8}","""Milky Way timelapse from Himalayan peaks""",5/22/2025 23:20,278.0,52.0,46.0,28.7,"['astrophotography', 'milkyway', 'himalaya']",image,180.0,"(30.7333,76.7794)",0.91,0.01,0.08,0.89
p068,u168,"(13.0827,80.2707)","['u166', 'u170']","{'fermentation': 0.8, 'food': 0.9}","{'video': 0.7, 'image': 0.8}","{'u166': 0.7, 'u170': 0.8}","{'fermentation': 0.9, 'food': 0.8}","""Traditional kimchi fermentation process""",5/25/2025 12:30,95.0,24.0,16.0,35.6,"['fermentation', 'kimchi', 'traditional']",video,420.0,"(13.0827,80.2707)",0.76,0.03,0.21,0.72
p069,u169,"(22.7196,75.8577)","['u167', 'u171']","{'blacksmithing': 0.9, 'metalwork': 0.8}","{'video': 0.9, 'image': 0.7}","{'u167': 0.8, 'u171': 0.9}","{'blacksmithing': 0.9, 'metalwork': 0.8}","""Forging Damascus steel knife blade""",5/24/2025 14:15,187.0,39.0,27.0,38.9,"['blacksmithing', 'damascus', 'knife']",video,380.0,"(22.7196,75.8577)",0.79,0.04,0.17,0.74
p070,u170,"(26.2389,73.0243)","['u168', 'u172']","{'falconry': 0.8, 'birds': 0.9}","{'video': 0.8, 'image': 0.8}","{'u168': 0.8, 'u172': 0.7}","{'falconry': 0.9, 'birds': 0.8}","""Training session with golden eagle""",5/23/2025 8:40,164.0,33.0,25.0,31.2,"['falconry', 'eagle', 'training']",video,290.0,"(26.2389,73.0243)",0.85,0.02,0.13,0.82
p071,u171,"(17.6868,83.2185)","['u169', 'u173']","{'mushroom_cultivation': 0.9, 'agriculture': 0.7}","{'image': 0.8, 'video': 0.7}","{'u169': 0.9, 'u173': 0.6}","{'mushroom_cultivation': 0.9, 'agriculture': 0.7}","""Oyster mushroom harvest from home setup""",5/22/2025 11:50,78.0,21.0,12.0,29.4,"['mushrooms', 'cultivation', 'harvest']",image,260.0,"(17.6868,83.2185)",0.8,0.03,0.17,0.76
p072,u172,"(23.5204,87.2879)","['u170', 'u174']","{'ice_climbing': 0.9, 'extreme_sports': 0.8}","{'video': 0.9, 'image': 0.8}","{'u170': 0.7, 'u174': 0.8}","{'ice_climbing': 0.9, 'extreme_sports': 0.8}","""Frozen waterfall ascent: Technical climb""",5/25/2025 6:20,223.0,48.0,35.0,42.1,"['iceclimbing', 'waterfall', 'extreme']",video,320.0,"(23.5204,87.2879)",0.78,0.06,0.16,0.71
p073,u173,"(12.2958,76.6394)","['u171', 'u175']","{'bookbinding': 0.8, 'crafts': 0.9}","{'image': 0.8, 'video': 0.7}","{'u171': 0.8, 'u175': 0.9}","{'bookbinding': 0.9, 'crafts': 0.8}","""Hand-bound leather journal creation""",5/24/2025 15:30,103.0,19.0,14.0,27.8,"['bookbinding', 'leather', 'journal']",image,230.0,"(12.2958,76.6394)",0.82,0.02,0.16,0.79
p074,u174,"(25.3176,82.9739)","['u172', 'u176']","{'deep_sea_diving': 0.9, 'ocean': 0.8}","{'video': 0.9, 'image': 0.8}","{'u172': 0.8, 'u176': 0.7}","{'deep_sea_diving': 0.9, 'ocean': 0.8}","""Wreck exploration: 40 meters depth""",5/23/2025 13:45,195.0,41.0,32.0,36.7,"['diving', 'wreck', 'exploration']",video,340.0,"(25.3176,82.9739)",0.84,0.03,0.13,0.8
p075,u175,"(18.5204,73.8567)","['u173', 'u177']","{'terrarium_making': 0.8, 'plants': 0.9}","{'image': 0.9, 'video': 0.6}","{'u173': 0.9, 'u175': 0.8}","{'terrarium_making': 0.9, 'plants': 0.8}","""Closed ecosystem terrarium: Month 3 update""",5/22/2025 16:10,87.0,17.0,11.0,24.3,"['terrarium', 'ecosystem', 'plants']",image,210.0,"(18.5204,73.8567)",0.77,0.03,0.2,0.73
p076,u176,"(28.4595,77.0266)","['u174', 'u178']","{'paleontology': 0.9, 'fossils': 0.8}","{'image': 0.8, 'text': 0.8}","{'u174': 0.7, 'u178': 0.9}","{'paleontology': 0.9, 'fossils': 0.8}","""Trilobite fossil preparation techniques""",5/25/2025 10:45,71.0,32.0,13.0,43.2,"['paleontology', 'trilobite', 'fossils']",image,370.0,"(28.4595,77.0266)",0.68,0.07,0.25,0.6
p077,u177,"(14.6817,74.8370)","['u175', 'u179']","{'fire_spinning': 0.8, 'performance': 0.9}","{'video': 0.9, 'image': 0.7}","{'u175': 0.8, 'u179': 0.7}","{'fire_spinning': 0.9, 'performance': 0.8}","""Beach fire performance at sunset""",5/24/2025 19:30,241.0,35.0,28.0,22.5,"['firespinning', 'performance', 'sunset']",video,240.0,"(14.6817,74.8370)",0.88,0.02,0.1,0.85
p078,u178,"(21.8103,70.0621)","['u176', 'u180']","{'salt_harvesting': 0.8, 'traditional': 0.9}","{'image': 0.8, 'video': 0.7}","{'u176': 0.8, 'u180': 0.9}","{'salt_harvesting': 0.9, 'traditional': 0.8}","""Traditional salt pan harvesting methods""",5/23/2025 11:15,92.0,26.0,18.0,34.8,"['salt', 'harvesting', 'traditional']",image,280.0,"(21.8103,70.0621)",0.75,0.04,0.21,0.7
p079,u179,"(16.9891,82.2475)","['u177', 'u181']","{'kite_making': 0.9, 'festivals': 0.8}","{'video': 0.7, 'image': 0.8}","{'u177': 0.9, 'u181': 0.6}","{'kite_making': 0.9, 'festivals': 0.8}","""Giant box kite construction tutorial""",5/22/2025 12:40,134.0,23.0,19.0,30.6,"['kitemaking', 'box', 'tutorial']",video,360.0,"(16.9891,82.2475)",0.81,0.02,0.17,0.78
p080,u180,"(29.0588,79.5430)","['u178', 'u182']","{'traditional_medicine': 0.8, 'herbs': 0.9}","{'text': 0.8, 'image': 0.7}","{'u178': 0.7, 'u182': 0.8}","{'traditional_medicine': 0.9, 'herbs': 0.8}","""Medicinal plant identification guide: Part 5""",5/25/2025 9:20,68.0,29.0,15.0,41.7,"['herbs', 'medicine', 'identification']",text,440.0,"(29.0588,79.5430)",0.7,0.05,0.25,0.64
p081,u181,"(13.3409,74.7421)","['u179', 'u183']","{'rock_balancing': 0.9, 'meditation': 0.8}","{'image': 0.9, 'video': 0.6}","{'u179': 0.8, 'u183': 0.7}","{'rock_balancing': 0.9, 'meditation': 0.8}","""Impossible balance: Seven stone tower""",5/24/2025 7:50,159.0,21.0,23.0,19.4,"['rockbalancing', 'balance', 'meditation']",image,160.0,"(13.3409,74.7421)",0.86,0.02,0.12,0.83
p082,u182,"(24.5937,73.7124)","['u180', 'u184']","{'crystal_healing': 0.8, 'wellness': 0.9}","{'image': 0.7, 'audio': 0.8}","{'u180': 0.8, 'u184': 0.9}","{'crystal_healing': 0.8, 'wellness': 0.9}","""Chakra alignment with crystal meditation""",5/23/2025 17:25,96.0,18.0,12.0,33.9,"['crystals', 'chakra', 'meditation']",audio,480.0,"(24.5937,73.7124)",0.79,0.03,0.18,0.75
p083,u183,"(19.2183,72.9781)","['u181', 'u185']","{'chainsaw_carving': 0.9, 'sculpture': 0.8}","{'video': 0.9, 'image': 0.8}","{'u181': 0.7, 'u185': 0.8}","{'chainsaw_carving': 0.9, 'sculpture': 0.8}","""Eagle sculpture from oak log""",5/22/2025 14:20,176.0,37.0,26.0,35.3,"['chainsawcarving', 'eagle', 'sculpture']",video,380.0,"(19.2183,72.9781)",0.83,0.03,0.14,0.79
p084,u184,"(27.7172,85.3240)","['u182', 'u186']","{'high_altitude_cooking': 0.8, 'adventure': 0.9}","{'video': 0.8, 'image': 0.7}","{'u182': 0.9, 'u186': 0.6}","{'high_altitude_cooking': 0.9, 'adventure': 0.8}","""Cooking at 5000m: Everest base camp meal""",5/25/2025 18:00,203.0,44.0,33.0,37.8,"['cooking', 'altitude', 'everest']",video,320.0,"(27.7172,85.3240)",0.8,0.04,0.16,0.75
p085,u185,"(11.0168,76.9558)","['u183', 'u187']","{'puppet_making': 0.8, 'theater': 0.9}","{'video': 0.7, 'image': 0.8}","{'u183': 0.8, 'u187': 0.9}","{'puppet_making': 0.9, 'theater': 0.8}","""Traditional marionette creation process""",5/24/2025 13:35,112.0,25.0,17.0,31.4,"['puppetmaking', 'marionette', 'theater']",video,390.0,"(11.0168,76.9558)",0.78,0.03,0.19,0.74
p086,u186,"(20.7515,78.1370)","['u184', 'u188']","{'sand_art': 0.9, 'temporary': 0.8}","{'image': 0.9, 'video': 0.8}","{'u184': 0.7, 'u188': 0.8}","{'sand_art': 0.9, 'temporary': 0.8}","""Mandala sand painting: 8-hour creation""",5/23/2025 10:45,148.0,30.0,22.0,26.7,"['sandart', 'mandala', 'temporary']",image,190.0,"(20.7515,78.1370)",0.85,0.02,0.13,0.82
p087,u187,"(26.4499,80.3319)","['u185', 'u189']","{'wind_instruments': 0.8, 'music': 0.9}","{'audio': 0.9, 'video': 0.7}","{'u185': 0.9, 'u187': 0.8}","{'wind_instruments': 0.9, 'music': 0.8}","""Handcrafted bamboo flute performance""",5/22/2025 19:15,89.0,16.0,13.0,28.9,"['flute', 'bamboo', 'performance']",audio,360.0,"(26.4499,80.3319)",0.87,0.01,0.12,0.85
p088,u188,"(15.2993,74.1240)","['u186', 'u190']","{'fire_safety': 0.8, 'emergency': 0.9}","{'video': 0.8, 'text': 0.8}","{'u186': 0.8, 'u190': 0.7}","{'fire_safety': 0.9, 'emergency': 0.8}","""Home fire escape plan demonstration""",5/25/2025 14:10,174.0,41.0,29.0,39.2,"['firesafety', 'emergency', 'home']",video,420.0,"(15.2993,74.1240)",0.72,0.06,0.22,0.65
p089,u189,"(23.0225,72.5714)","['u187', 'u191']","{'sand_casting': 0.9, 'metalwork': 0.8}","{'video': 0.8, 'image': 0.8}","{'u187': 0.8, 'u191': 0.9}","{'sand_casting': 0.9, 'metalwork': 0.8}","""Bronze casting using traditional methods""",5/24/2025 11:40,107.0,27.0,20.0,36.5,"['sandcasting', 'bronze', 'traditional']",video,400.0,"(23.0225,72.5714)",0.76,0.04,0.2,0.71
p090,u190,"(17.4065,78.4772)","['u188', 'u192']","{'stone_skipping': 0.8, 'physics': 0.9}","{'video': 0.9, 'image': 0.6}","{'u188': 0.7, 'u192': 0.8}","{'stone_skipping': 0.9, 'physics': 0.8}","""Perfect stone skip: 23 bounces analysis""",5/23/2025 16:55,219.0,38.0,31.0,23.8,"['stoneskipping', 'physics', 'analysis']",video,250.0,"(17.4065,78.4772)",0.89,0.02,0.09,0.86
p091,u191,"(30.3165,78.0322)","['u189', 'u193']","{'speleology': 0.9, 'caves': 0.8}","{'image': 0.8, 'video': 0.8}","{'u189': 0.9, 'u193': 0.7}","{'speleology': 0.9, 'caves': 0.8}","""Underground river mapping expedition""",5/22/2025 8:30,131.0,34.0,24.0,44.6,"['speleology', 'caves', 'mapping']",image,330.0,"(30.3165,78.0322)",0.73,0.05,0.22,0.67
p092,u192,"(12.9141,77.6101)","['u190', 'u194']","{'soap_bubble_art': 0.8, 'physics': 0.9}","{'video': 0.9, 'image': 0.7}","{'u190': 0.8, 'u194': 0.9}","{'soap_bubble_art': 0.9, 'physics': 0.8}","""Giant bubble inside bubble experiment""",5/25/2025 15:50,186.0,29.0,25.0,21.3,"['bubbles', 'experiment', 'physics']",video,180.0,"(12.9141,77.6101)",0.9,0.01,0.09,0.88
p093,u193,"(25.5941,85.0996)","['u191', 'u195']","{'bamboo_construction': 0.9, 'sustainable': 0.8}","{'video': 0.8, 'image': 0.8}","{'u191': 0.8, 'u193': 0.7}","{'bamboo_construction': 0.9, 'sustainable': 0.8}","""Earthquake-resistant bamboo house frame""",5/24/2025 9:25,154.0,36.0,27.0,40.1,"['bamboo', 'construction', 'sustainable']",video,460.0,"(25.5941,85.0996)",0.74,0.05,0.21,0.68
p094,u194,"(18.6298,73.7997)","['u192', 'u196']","{'sound_healing': 0.8, 'therapy': 0.9}","{'audio': 0.9, 'video': 0.6}","{'u192': 0.9, 'u194': 0.8}","{'sound_healing': 0.9, 'therapy': 0.8}","""Tibetan singing bowl meditation session""",5/23/2025 12:20,98.0,22.0,16.0,32.7,"['soundhealing', 'tibetan', 'meditation']",audio,420.0,"(18.6298,73.7997)",0.84,0.02,0.14,0.81
p095,u195,"(21.2787,81.8661)","['u193', 'u197']","{'maze_design': 0.9, 'puzzles': 0.8}","{'image': 0.8, 'text': 0.7}","{'u193': 0.7, 'u197': 0.8}","{'maze_design': 0.9, 'puzzles': 0.8}","""Creating unsolvable optical illusion maze""",5/22/2025 17:05,82.0,31.0,14.0,38.4,"['maze', 'optical', 'puzzles']",image,310.0,"(21.2787,81.8661)",0.71,0.06,0.23,0.64
p066,u166,"(15.2993,74.1240)","['u164', 'u168']","{'wine_making': 0.9, 'viticulture': 0.8}","{'video': 0.8, 'image': 0.7}","{'u164': 0.7, 'u168': 0.8}","{'wine_making': 0.9, 'viticulture': 0.7}","""Grape harvest and fermentation process""",5/25/2025 18:30,134.0,29.0,21.0,35.4,"['winemaking', 'harvest', 'fermentation']",video,420.0,"(15.2993,74.1240)",0.8,0.03,0.17,0.76
p067,u167,"(30.7333,76.7794)","['u165', 'u169']","{'astrophotography': 0.9, 'night_sky': 0.8}","{'image': 0.9, 'video': 0.6}","{'u165': 0.8, 'u169': 0.7}","{'astrophotography': 0.9, 'night_sky': 0.8}","""Milky Way captured from Ladakh mountains""",5/24/2025 23:45,287.0,52.0,48.0,22.1,"['astrophotography', 'milkyway', 'ladakh']",image,160.0,"(30.7333,76.7794)",0.91,0.01,0.08,0.89
p068,u168,"(13.0827,80.2707)","['u166', 'u170']","{'blacksmithing': 0.8, 'metalwork': 0.9}","{'video': 0.9, 'image': 0.7}","{'u166': 0.8, 'u170': 0.9}","{'metalwork': 0.9, 'blacksmithing': 0.8}","""Forging Damascus steel knife blade""",5/23/2025 14:20,176.0,35.0,27.0,38.7,"['blacksmithing', 'damascus', 'knife']",video,360.0,"(13.0827,80.2707)",0.78,0.04,0.18,0.73
p069,u169,"(22.7196,75.8577)","['u167', 'u171']","{'meditation': 0.9, 'mindfulness': 0.8}","{'audio': 0.9, 'text': 0.7}","{'u167': 0.7, 'u171': 0.9}","{'meditation': 0.9, 'mindfulness': 0.8}","""20-minute guided morning meditation""",5/22/2025 6:00,95.0,18.0,14.0,47.3,"['meditation', 'morning', 'guided']",audio,1200.0,"(22.7196,75.8577)",0.86,0.02,0.12,0.83
p070,u170,"(17.6868,83.2185)","['u168', 'u172']","{'aquaponics': 0.8, 'sustainable_farming': 0.9}","{'video': 0.7, 'image': 0.8}","{'u168': 0.8, 'u172': 0.7}","{'sustainable_farming': 0.9, 'aquaponics': 0.8}","""Fish and vegetable system: Month 6 update""",5/25/2025 10:15,102.0,26.0,19.0,34.6,"['aquaponics', 'sustainable', 'farming']",video,380.0,"(17.6868,83.2185)",0.77,0.05,0.18,0.71
p071,u171,"(28.4595,77.0266)","['u169', 'u173']","{'jewelry_making': 0.9, 'handcrafted': 0.8}","{'image': 0.9, 'video': 0.8}","{'u169': 0.8, 'u173': 0.9}","{'jewelry_making': 0.9, 'handcrafted': 0.8}","""Silver ring with turquoise stone creation""",5/24/2025 15:40,149.0,32.0,23.0,28.9,"['jewelry', 'silver', 'turquoise']",image,220.0,"(28.4595,77.0266)",0.83,0.02,0.15,0.8
p072,u172,"(26.8467,80.9462)","['u170', 'u174']","{'rock_climbing': 0.9, 'outdoor_sports': 0.8}","{'video': 0.8, 'image': 0.8}","{'u170': 0.7, 'u174': 0.8}","{'rock_climbing': 0.9, 'outdoor_sports': 0.8}","""Challenging route at Hampi boulders""",5/23/2025 8:20,211.0,44.0,35.0,24.3,"['rockclimbing', 'hampi', 'bouldering']",video,280.0,"(26.8467,80.9462)",0.85,0.03,0.12,0.81
p073,u173,"(19.0176,72.8562)","['u171', 'u175']","{'street_photography': 0.8, 'urban_life': 0.9}","{'image': 0.9, 'text': 0.6}","{'u171': 0.9, 'u175': 0.7}","{'street_photography': 0.9, 'urban_life': 0.8}","""Mumbai monsoon: Life through my lens""",5/22/2025 17:10,193.0,38.0,29.0,21.7,"['streetphotography', 'mumbai', 'monsoon']",image,180.0,"(19.0176,72.8562)",0.76,0.06,0.18,0.69
p074,u174,"(12.2958,76.6394)","['u172', 'u176']","{'coffee_roasting': 0.9, 'specialty_coffee': 0.8}","{'video': 0.7, 'image': 0.8}","{'u172': 0.8, 'u176': 0.9}","{'coffee_roasting': 0.9, 'specialty_coffee': 0.8}","""Single origin Ethiopian beans: Roast profile""",5/25/2025 9:30,118.0,25.0,16.0,31.2,"['coffee', 'roasting', 'ethiopian']",video,340.0,"(12.2958,76.6394)",0.82,0.02,0.16,0.79
p075,u175,"(25.3176,82.9739)","['u173', 'u177']","{'traditional_dance': 0.8, 'cultural_arts': 0.9}","{'video': 0.9, 'audio': 0.7}","{'u173': 0.7, 'u177': 0.8}","{'cultural_arts': 0.9, 'traditional_dance': 0.8}","""Kathak performance: Classical storytelling""",5/24/2025 19:00,164.0,41.0,32.0,43.8,"['kathak', 'classical', 'dance']",video,480.0,"(25.3176,82.9739)",0.88,0.02,0.1,0.85
p076,u176,"(20.5937,78.9629)","['u174', 'u178']","{'mushroom_cultivation': 0.9, 'mycology': 0.8}","{'image': 0.8, 'video': 0.7}","{'u174': 0.8, 'u178': 0.7}","{'mushroom_cultivation': 0.9, 'mycology': 0.7}","""Oyster mushroom harvest from home setup""",5/23/2025 11:45,87.0,22.0,15.0,29.6,"['mushrooms', 'cultivation', 'oyster']",image,260.0,"(20.5937,78.9629)",0.79,0.03,0.18,0.75
p077,u177,"(16.9891,82.2475)","['u175', 'u179']","{'glass_blowing': 0.8, 'art_glass': 0.9}","{'video': 0.9, 'image': 0.8}","{'u175': 0.9, 'u179': 0.6}","{'art_glass': 0.9, 'glass_blowing': 0.8}","""Creating hand-blown glass vase""",5/22/2025 13:20,153.0,28.0,20.0,36.1,"['glassblowing', 'vase', 'handmade']",video,390.0,"(16.9891,82.2475)",0.81,0.03,0.16,0.77
p078,u178,"(23.0225,72.5714)","['u176', 'u180']","{'food_preservation': 0.8, 'fermentation': 0.9}","{'video': 0.8, 'text': 0.7}","{'u176': 0.7, 'u180': 0.8}","{'fermentation': 0.9, 'food_preservation': 0.8}","""Traditional pickle making techniques""",5/25/2025 14:00,126.0,34.0,22.0,38.4,"['fermentation', 'pickles', 'traditional']",video,410.0,"(23.0225,72.5714)",0.74,0.05,0.21,0.68
p079,u179,"(29.0588,76.0856)","['u177', 'u181']","{'ice_skating': 0.9, 'winter_sports': 0.8}","{'video': 0.9, 'image': 0.7}","{'u177': 0.8, 'u181': 0.7}","{'ice_skating': 0.9, 'winter_sports': 0.7}","""Figure skating routine practice session""",5/24/2025 7:15,142.0,27.0,18.0,25.8,"['iceskating', 'figure', 'practice']",video,300.0,"(29.0588,76.0856)",0.84,0.02,0.14,0.81
p080,u180,"(14.6780,77.5946)","['u178', 'u182']","{'butterfly_gardening': 0.8, 'pollinator_conservation': 0.9}","{'image': 0.9, 'video': 0.6}","{'u178': 0.8, 'u182': 0.9}","{'pollinator_conservation': 0.9, 'butterfly_gardening': 0.8}","""Native plants attracting rare butterflies""",5/23/2025 16:50,91.0,19.0,13.0,32.7,"['butterflies', 'native', 'conservation']",image,240.0,"(14.6780,77.5946)",0.87,0.02,0.11,0.84
p081,u181,"(21.7679,78.8718)","['u179', 'u183']","{'leather_crafting': 0.9, 'handmade_goods': 0.8}","{'video': 0.8, 'image': 0.8}","{'u179': 0.7, 'u183': 0.8}","{'leather_crafting': 0.9, 'handmade_goods': 0.8}","""Hand-stitched leather wallet creation""",5/22/2025 12:30,108.0,24.0,17.0,33.9,"['leather', 'wallet', 'handstitched']",video,350.0,"(21.7679,78.8718)",0.8,0.03,0.17,0.76
p082,u182,"(27.2046,77.4977)","['u180', 'u184']","{'drone_racing': 0.9, 'fpv_flying': 0.8}","{'video': 0.9, 'image': 0.6}","{'u180': 0.8, 'u184': 0.9}","{'drone_racing': 0.9, 'fpv_flying': 0.8}","""FPV drone race through forest course""",5/25/2025 12:45,178.0,39.0,26.0,22.4,"['drone', 'racing', 'fpv']",video,240.0,"(27.2046,77.4977)",0.89,0.02,0.09,0.86
p083,u183,"(11.0168,76.9558)","['u181', 'u185']","{'herb_gardening': 0.8, 'medicinal_plants': 0.9}","{'image': 0.8, 'text': 0.8}","{'u181': 0.9, 'u185': 0.7}","{'medicinal_plants': 0.9, 'herb_gardening': 0.8}","""Ayurvedic herbs grown in home garden""",5/24/2025 10:20,74.0,18.0,11.0,41.5,"['herbs', 'ayurvedic', 'medicinal']",image,310.0,"(11.0168,76.9558)",0.73,0.06,0.21,0.66
p084,u184,"(18.5204,73.8567)","['u182', 'u186']","{'sand_sculpting': 0.8, 'beach_art': 0.9}","{'image': 0.9, 'video': 0.7}","{'u182': 0.7, 'u186': 0.8}","{'beach_art': 0.9, 'sand_sculpting': 0.8}","""Intricate sand castle with detailed towers""",5/23/2025 13:15,195.0,33.0,28.0,19.8,"['sand', 'sculpture', 'beach']",image,170.0,"(18.5204,73.8567)",0.85,0.02,0.13,0.82
p085,u185,"(24.5854,73.7125)","['u183', 'u187']","{'kite_making': 0.9, 'traditional_crafts': 0.8}","{'video': 0.7, 'image': 0.8}","{'u183': 0.8, 'u187': 0.9}","{'kite_making': 0.9, 'traditional_crafts': 0.8}","""Rajasthani kite crafting for festival""",5/22/2025 9:40,113.0,26.0,19.0,30.1,"['kite', 'rajasthani', 'festival']",video,370.0,"(24.5854,73.7125)",0.82,0.03,0.15,0.78
p086,u186,"(26.4499,80.3319)","['u184', 'u188']","{'hydroponics': 0.8, 'soilless_farming': 0.9}","{'video': 0.8, 'image': 0.7}","{'u184': 0.8, 'u188': 0.7}","{'soilless_farming': 0.9, 'hydroponics': 0.8}","""Vertical hydroponic system setup guide""",5/25/2025 11:55,98.0,23.0,16.0,37.2,"['hydroponics', 'vertical', 'farming']",video,420.0,"(26.4499,80.3319)",0.76,0.04,0.2,0.71
p087,u187,"(15.4909,73.8278)","['u185', 'u189']","{'perfume_making': 0.9, 'aromatherapy': 0.8}","{'video': 0.7, 'image': 0.8}","{'u185': 0.7, 'u189': 0.8}","{'perfume_making': 0.9, 'aromatherapy': 0.8}","""Natural perfume blending with jasmine""",5/24/2025 16:10,137.0,31.0,24.0,35.8,"['perfume', 'natural', 'jasmine']",video,390.0,"(15.4909,73.8278)",0.81,0.02,0.17,0.78
p088,u188,"(19.2183,72.9781)","['u186', 'u190']","{'urban_sketching': 0.8, 'architectural_drawing': 0.9}","{'image': 0.9, 'video': 0.6}","{'u186': 0.9, 'u190': 0.6}","{'architectural_drawing': 0.9, 'urban_sketching': 0.8}","""Colonial architecture sketches from Fort area""",5/23/2025 15:30,82.0,17.0,12.0,28.6,"['sketch', 'architecture', 'colonial']",image,210.0,"(19.2183,72.9781)",0.75,0.04,0.21,0.7
p089,u189,"(12.9141,74.8560)","['u187', 'u191']","{'snorkeling': 0.8, 'marine_exploration': 0.9}","{'video': 0.9, 'image': 0.8}","{'u187': 0.8, 'u191': 0.7}","{'marine_exploration': 0.9, 'snorkeling': 0.8}","""Colorful coral reef exploration footage""",5/22/2025 14:25,167.0,35.0,29.0,26.3,"['snorkeling', 'coral', 'marine']",video,320.0,"(12.9141,74.8560)",0.88,0.02,0.1,0.85
p090,u190,"(28.7041,77.1025)","['u188', 'u192']","{'candle_making': 0.8, 'wax_crafts': 0.9}","{'video': 0.8, 'image': 0.8}","{'u188': 0.7, 'u192': 0.8}","{'wax_crafts': 0.9, 'candle_making': 0.8}","""Soy wax candles with dried flower petals""",5/25/2025 17:20,104.0,21.0,14.0,32.4,"['candles', 'soy', 'flowers']",video,360.0,"(28.7041,77.1025)",0.83,0.02,0.15,0.8
p091,u191,"(13.3525,74.7879)","['u189', 'u193']","{'fossil_hunting': 0.9, 'paleontology': 0.8}","{'image': 0.8, 'text': 0.8}","{'u189': 0.8, 'u193': 0.9}","{'paleontology': 0.8, 'fossil_hunting': 0.9}","""Trilobite fossil discovered in local quarry""",5/24/2025 13:45,71.0,26.0,9.0,44.7,"['fossils', 'trilobite', 'paleontology']",image,290.0,"(13.3525,74.7879)",0.72,0.05,0.23,0.66
p092,u192,"(20.9320,77.7523)","['u190', 'u194']","{'fire_spinning': 0.8, 'performance_art': 0.9}","{'video': 0.9, 'image': 0.7}","{'u190': 0.9, 'u194': 0.7}","{'performance_art': 0.9, 'fire_spinning': 0.8}","""Mesmerizing fire poi performance at sunset""",5/23/2025 19:30,224.0,48.0,36.0,21.9,"['fire', 'poi', 'performance']",video,220.0,"(20.9320,77.7523)",0.9,0.02,0.08,0.87
p093,u193,"(16.7050,74.2433)","['u191', 'u195']","{'jam_making': 0.8, 'fruit_preservation': 0.9}","{'video': 0.7, 'image': 0.8}","{'u191': 0.7, 'u195': 0.8}","{'fruit_preservation': 0.9, 'jam_making': 0.8}","""Homemade mango jam from garden fruits""",5/22/2025 11:00,89.0,20.0,15.0,31.8,"['jam', 'mango', 'homemade']",video,340.0,"(16.7050,74.2433)",0.84,0.02,0.14,0.81
p094,u194,"(22.3072,73.1812)","['u192', 'u196']","{'metal_detecting': 0.9, 'treasure_hunting': 0.8}","{'video': 0.8, 'image': 0.8}","{'u192': 0.8, 'u196': 0.7}","{'metal_detecting': 0.9, 'treasure_hunting': 0.7}","""Ancient coin found at archaeological site""",5/25/2025 8:10,156.0,42.0,31.0,39.6,"['metaldetecting', 'coin', 'ancient']",video,380.0,"(22.3072,73.1812)",0.77,0.05,0.18,0.71
p095,u195,"(27.8974,78.0880)","['u193', 'u197']","{'vertical_gardening': 0.8, 'space_efficient': 0.9}","{'image': 0.8, 'video': 0.7}","{'u193': 0.8, 'u197': 0.9}","{'space_efficient': 0.9, 'vertical_gardening': 0.8}","""Apartment balcony vertical herb garden""",5/24/2025 12:35,115.0,28.0,20.0,34.1,"['vertical', 'garden', 'herbs']",image,250.0,"(27.8974,78.0880)",0.78,0.03,0.19,0.74
p066,u166,"(17.6868,83.2185)","['u164', 'u168']","{'aquaponics': 0.9, 'farming': 0.8}","{'video': 0.8, 'image': 0.7}","{'u164': 0.8, 'u168': 0.7}","{'aquaponics': 0.9, 'farming': 0.7}","""Aquaponics system: Fish and vegetables together""",5/23/2025 11:45,103.0,26.0,19.0,35.4,"['aquaponics', 'farming', 'sustainable']",video,350.0,"(17.6868,83.2185)",0.8,0.03,0.17,0.76
p067,u167,"(30.7333,76.7794)","['u165', 'u169']","{'astronomy': 0.9, 'stargazing': 0.8}","{'image': 0.9, 'video': 0.7}","{'u165': 0.7, 'u169': 0.8}","{'astronomy': 0.9, 'stargazing': 0.8}","""Milky Way captured from Ladakh mountains""",5/22/2025 23:15,247.0,38.0,52.0,22.3,"['astronomy', 'milkyway', 'astrophotography']",image,165.0,"(30.7333,76.7794)",0.88,0.02,0.1,0.85
p068,u168,"(13.0827,80.2707)","['u166', 'u170']","{'blacksmithing': 0.8, 'metalwork': 0.9}","{'video': 0.9, 'image': 0.8}","{'u166': 0.8, 'u170': 0.7}","{'metalwork': 0.9, 'blacksmithing': 0.8}","""Forging a Damascus steel knife blade""",5/25/2025 18:20,184.0,43.0,27.0,39.7,"['blacksmithing', 'damascus', 'metalwork']",video,420.0,"(13.0827,80.2707)",0.83,0.03,0.14,0.79
